Time	Torque	AngularAcceleration	AngularVelocity	Angle	Force X	Force Y	Acceleration X	Acceleration Y	Velocity X	Velocity Y	Position x	 Positoin Y
45	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1924.577148	0.352395	50008.320313	2.634748
46	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1949.576538	0.375945	51943.488281	2.998554
47	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1974.575928	0.399495	53903.531250	3.385886
48	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	1999.575317	0.423045	55888.687500	3.796745
49	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	2024.574707	0.446595	57898.730469	4.231130
50	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	25.023561	0.023562	2049.566406	0.470145	59933.761719	4.689043
51	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	61982.492188	5.159667
52	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	64031.222656	5.630311
53	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	66080.992188	6.100955
54	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	68133.625000	6.571599
55	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	70186.257813	7.042243
56	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	72238.890625	7.512887
57	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	74291.523438	7.983531
58	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	76344.156250	8.454175
59	629100032.000000	0.000000	0.000000	0.000000	50000000.000000	0.000000	0.000000	0.000000	2050.811523	0.471324	78396.789063	8.924819
